PUID,Name,Version,Extensions,Media Types
fmt/1,Broadcast WAVE,0 Generic,wav ,audio/x-wav
fmt/2,Broadcast WAVE,1 Generic,wav ,audio/x-wav
fmt/3,Graphics Interchange Format,87a,gif ,image/gif
fmt/4,Graphics Interchange Format,89a,gif ,image/gif
fmt/5,Audio/Video Interleaved Format,,avi ,video/x-msvideo
fmt/6,Waveform Audio,,wav ,audio/x-wav
fmt/7,Tagged Image File Format,3,,
fmt/8,Tagged Image File Format,4,,
fmt/9,Tagged Image File Format,5,,
fmt/10,Tagged Image File Format,6,,
fmt/11,Portable Network Graphics,1.0,png ,image/png
fmt/12,Portable Network Graphics,1.1,png ,image/png
fmt/13,Portable Network Graphics,1.2,png ,image/png
fmt/14,Acrobat PDF 1.0 - Portable Document Format,1.0,pdf ,application/pdf
fmt/15,Acrobat PDF 1.1 - Portable Document Format,1.1,pdf ,application/pdf
fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,pdf ,application/pdf
fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,pdf ,application/pdf
fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,pdf ,application/pdf
fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,pdf ,application/pdf
fmt/20,Acrobat PDF 1.6 - Portable Document Format,1.6,pdf ,application/pdf
fmt/21,AutoCAD Drawing,1.0,dwg ,image/vnd.dwg
fmt/22,AutoCAD Drawing,1.2,dwg ,image/vnd.dwg
fmt/23,AutoCAD Drawing,1.3,dwg ,image/vnd.dwg
fmt/24,AutoCAD Drawing,1.4,dwg ,image/vnd.dwg
fmt/25,AutoCAD Drawing,2.0,dwg ,image/vnd.dwg
fmt/26,AutoCAD Drawing,2.1,dwg ,image/vnd.dwg
fmt/27,AutoCAD Drawing,2.2,dwg ,image/vnd.dwg
fmt/28,AutoCAD Drawing,2.5,dwg ,image/vnd.dwg
fmt/29,AutoCAD Drawing,2.6,dwg ,image/vnd.dwg
fmt/30,AutoCAD Drawing,R9,dwg ,image/vnd.dwg
fmt/31,AutoCAD Drawing,R10,dwg ,image/vnd.dwg
fmt/32,AutoCAD Drawing,R11/12,dwg ,image/vnd.dwg
fmt/33,AutoCAD Drawing,R13,dwg ,image/vnd.dwg
fmt/34,AutoCAD Drawing,R14,dwg ,image/vnd.dwg
fmt/35,AutoCAD Drawing,2000-2002,dwg ,image/vnd.dwg
fmt/36,AutoCAD Drawing,2004-2005,dwg ,image/vnd.dwg
fmt/37,Microsoft Word for Windows Document,1.0,doc ,application/msword
fmt/38,Microsoft Word for Windows Document,2.0,doc ,application/msword
fmt/39,Microsoft Word Document,6.0/95,doc ,application/msword
fmt/40,Microsoft Word Document,97-2003,doc wbk ,application/msword
fmt/41,Raw JPEG Stream,,jpe jpeg jpg ,image/jpeg
fmt/42,JPEG File Interchange Format,1.00,jpe jpeg jpg ,image/jpeg
fmt/43,JPEG File Interchange Format,1.01,jpe jpeg jpg ,image/jpeg
fmt/44,JPEG File Interchange Format,1.02,jpe jpeg jpg ,image/jpeg
fmt/45,Rich Text Format,1.0-1.4,rtf ,application/rtf text/rtf
fmt/46,Rich Text Format,1.1,,
fmt/47,Rich Text Format,1.2,,
fmt/48,Rich Text Format,1.3,,
fmt/49,Rich Text Format,1.4,,
fmt/50,Rich Text Format,1.5-1.6,rtf ,application/rtf text/rtf
fmt/51,Rich Text Format,1.6,,
fmt/52,Rich Text Format,1.7,rtf ,application/rtf text/rtf
fmt/53,Rich Text Format,1.8,rtf ,application/rtf text/rtf
fmt/54,Drawing Interchange Binary Format,1.0,dxb ,
fmt/55,Microsoft Excel 2.x Worksheet (xls),2,xls ,application/vnd.ms-excel
fmt/56,Microsoft Excel 3.0 Worksheet (xls),3,xls ,application/vnd.ms-excel
fmt/57,Microsoft Excel 4.0 Worksheet (xls),4S,xls ,application/vnd.ms-excel
fmt/58,Microsoft Excel 4.0 Workbook (xls),4W,xlw ,application/vnd.ms-excel
fmt/59,Microsoft Excel 5.0/95 Workbook (xls),5/95,xls xlw ,application/vnd.ms-excel
fmt/60,Excel 95 Workbook (xls),7,,
fmt/61,Microsoft Excel 97 Workbook (xls),8,xls xlw ,application/vnd.ms-excel
fmt/62,Microsoft Excel 2000-2003 Workbook (xls),8X,xls xlw ,application/vnd.ms-excel
fmt/63,Drawing Interchange File Format (ASCII),Generic,dxf ,image/vnd.dxf
fmt/64,Drawing Interchange File Format (ASCII),1.0,dxf ,image/vnd.dxf
fmt/65,Drawing Interchange File Format (ASCII),1.2,dxf ,image/vnd.dxf
fmt/66,Drawing Interchange File Format (ASCII),1.3,dxf ,image/vnd.dxf
fmt/67,Drawing Interchange File Format (ASCII),1.4,dxf ,image/vnd.dxf
fmt/68,Drawing Interchange File Format (ASCII),2.0,dxf ,image/vnd.dxf
fmt/69,Drawing Interchange File Format (ASCII),2.1,dxf ,image/vnd.dxf
