PUID,Name,Version,Extensions,Binary signature?,Container Signature?,Deprecated?
fmt/7,Tagged Image File Format,3,,X,X,Yes
fmt/8,Tagged Image File Format,4,,X,X,Yes
fmt/9,Tagged Image File Format,5,,X,X,Yes
fmt/10,Tagged Image File Format,6,,X,X,Yes
fmt/46,Rich Text Format,1.1,,X,X,Yes
fmt/47,Rich Text Format,1.2,,X,X,Yes
fmt/48,Rich Text Format,1.3,,X,X,Yes
fmt/49,Rich Text Format,1.4,,X,X,Yes
fmt/51,Rich Text Format,1.6,,X,X,Yes
fmt/60,Excel 95 Workbook (xls),7,,X,X,Yes
fmt/113,Still Picture Interchange File Format,2.0,,X,X,X
fmt/149,JTIP (JPEG Tiled Image Pyramid),,,X,X,X
fmt/150,JPEG-LS,,jls ,X,X,X
fmt/153,Tagged Image File Format for Image Technology (TIFF/IT),,tif tiff ,X,X,X
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,tfx tif tiff ,X,X,X
fmt/159,EBCDIC-US,,ebcdic ,X,X,X
fmt/162,Microsoft Multiplan,4.0,mod ,X,X,X
fmt/164,Microsoft Works Word Processor for DOS,1.12,,X,X,Yes
fmt/165,Microsoft Works Word Processor for DOS,2.0,,X,X,Yes
fmt/167,Microsoft Works Spreadsheet for DOS,1.12,,X,X,Yes
fmt/168,Microsoft Works Spreadsheet for DOS,2.0,,X,X,Yes
fmt/169,Microsoft Works Database for DOS,1.05,wdb ,X,X,X
fmt/170,Microsoft Works Database for DOS,1.12,wdb ,X,X,X
fmt/171,Microsoft Works Database for DOS,2.0,wdb ,X,X,X
fmt/172,Microsoft Excel for Macintosh,3.0,,X,X,Yes
fmt/173,Microsoft Excel for Macintosh,4.0,,X,X,Yes
fmt/174,Microsoft Excel for Macintosh,98,,X,X,Yes
fmt/175,Microsoft Excel for Macintosh,2001,xls ,X,X,X
fmt/176,Microsoft Excel for Macintosh,2002,xls ,X,X,X
fmt/177,Microsoft Excel for Macintosh,2004,xls ,X,X,X
fmt/178,Microsoft Excel for Macintosh,X,,X,X,Yes
fmt/179,Microsoft PowerPoint for Macintosh,4.0,ppt ,X,X,X
fmt/180,Microsoft PowerPoint for Macintosh,98,,X,X,Yes
fmt/181,Microsoft PowerPoint for Macintosh,2001,ppt ,X,X,X
fmt/182,Microsoft PowerPoint for Macintosh,X,,X,X,Yes
fmt/195,ERDAS IMAGINE Gray-scale Bitmap Image,,gis ,X,X,X
fmt/201,Mathematica Notebook,,nb ,X,X,X
fmt/204,RealVideo Clip,,rv ,X,X,X
fmt/206,Structured Query Language Data,,sql ,X,X,X
fmt/207,Obsidium Project File,,opf ,X,X,X
fmt/208,Binary File,,bin ,X,X,X
fmt/209,Sound Designer II Audio File,,sd2 ,X,X,X
fmt/210,Statistica Report File,,str ,X,X,X
fmt/212,Information or Setup File,,inf ,X,X,X
fmt/213,ScanIt Document,,sid ,X,X,X
fmt/218,Microsoft FrontPage,,lck ,X,X,X
fmt/219,Microsoft Works Database for Windows,2.0,wdb ,X,X,X
fmt/220,Microsoft Works Spreadsheet for Windows,2.0,,X,X,Yes
fmt/221,Microsoft Works Word Processor for Windows,2.0,,X,X,Yes
fmt/222,Microsoft Works Database for Windows,2.0a,wdb ,X,X,X
fmt/223,Microsoft Works Database for Windows,3.0,wdb ,X,X,X
fmt/224,Microsoft Works Database for Windows,3.0a,wdb ,X,X,X
fmt/225,Microsoft Works Database for Windows,3.0b,wdb ,X,X,X
fmt/226,Microsoft Works Database for Windows,4.0,wdb ,X,X,X
fmt/227,Microsoft Works Spreadsheet for Windows,2.0a,,X,X,Yes
fmt/228,Microsoft Works Spreadsheet for Windows,3.0,,X,X,Yes
fmt/229,Microsoft Works Spreadsheet for Windows,3.0a,,X,X,Yes
fmt/230,Microsoft Works Spreadsheet for Windows,3.0b,,X,X,Yes
fmt/231,Microsoft Works Spreadsheet for Windows,4.0,,X,X,Yes
fmt/232,Microsoft Works Word Processor for Windows,2.0a,,X,X,Yes
fmt/234,Microsoft Works Word Processor for Windows,3.0a,,X,X,Yes
fmt/235,Microsoft Works Word Processor for Windows,3.0b,,X,X,Yes
fmt/236,Microsoft Works Word Processor for Windows,4.0,,X,X,Yes
fmt/237,Microsoft Office Binder File for Windows,95,obd ,X,X,X
fmt/238,Microsoft Office Binder Template for Windows,95,obt ,X,X,X
fmt/239,Microsoft Office Binder Wizard for Windows,95,obz ,X,X,X
fmt/241,Microsoft Office Binder Template for Windows,97-2003,obt ,X,X,X
fmt/242,Microsoft Office Binder Wizard for Windows,97-2003,obz ,X,X,X
fmt/245,Structured Data Exchange Format,,,X,X,X
fmt/246,Microsoft Works Database for Windows,4.0a,wdb ,X,X,X
fmt/247,Microsoft Works Spreadsheet for Windows,4.0a,,X,X,Yes
fmt/248,Microsoft Works Word Processor Windows,4.0a,,X,X,Yes
fmt/249,Microsoft Works Database for Windows,4.5,wdb ,X,X,X
fmt/250,Microsoft Works Spreadsheet for Windows,4.5,,X,X,Yes
fmt/251,Microsoft Works Word Processor Windows,4.5,,X,X,Yes
fmt/252,Microsoft Works Database for Windows,4.5a,wdb ,X,X,X
fmt/253,Microsoft Works Spreadsheet for Windows,4.5a,,X,X,Yes
fmt/254,Microsoft Works Word Processor Windows,4.5a,,X,X,Yes
fmt/256,Microsoft Works Database for Windows,2000,wdb ,X,X,X
